status,temperature,lr,dropout,best_avg_sep_ratio,test_avg_sep_ratio,test_stage_sil
success,0.07,1e-4,0.2,1.2066793963926443,1.2082793840818866,-0.05301933
success,0.07,1e-4,0.3,1.2023539484501207,1.2062387581539784,-0.05326208
success,0.07,1e-4,0.5,1.2016263910510678,1.2054146769406235,-0.052821852
success,0.07,5e-4,0.2,1.2052572463394162,1.201593546419526,-0.048071284
success,0.07,5e-4,0.3,1.2005287747135518,1.2032895641460999,-0.051926076
success,0.07,5e-4,0.5,1.205489737294544,1.2013757250552946,-0.049719296
success,0.07,1e-3,0.2,1.1995040996917874,1.1959665259199252,-0.051436413
success,0.07,1e-3,0.3,1.204189051395185,1.1992516374113449,-0.052700162
success,0.07,1e-3,0.5,1.1970783528306477,1.2027473853265287,-0.05297835
success,0.1,1e-4,0.2,1.201862930687104,1.2059949279781494,-0.053465955
success,0.1,1e-4,0.3,1.2015297412118406,1.2056272195255122,-0.05327349
success,0.1,1e-4,0.5,1.2021468973698075,1.2060105306128541,-0.053304214
success,0.1,5e-4,0.2,1.2267530032241865,1.218635485851994,-0.05058608
success,0.1,5e-4,0.3,1.241799046889745,1.2286131657404964,-0.05183509
success,0.1,5e-4,0.5,1.1996624508132316,1.2047007750436656,-0.053233065
success,0.1,1e-3,0.2,1.2399024318290444,1.226375922246969,-0.050830375
success,0.1,1e-3,0.3,1.2025772646813386,1.205476712366907,-0.052945662
success,0.1,1e-3,0.5,1.2044160920560687,1.2047835134005827,-0.051980253
success,0.2,1e-4,0.2,1.2037179932473427,1.2067760523340136,-0.053269774
success,0.2,1e-4,0.3,1.2040692183937467,1.2068556617979729,-0.053208493
success,0.2,1e-4,0.5,1.202427253636061,1.2062592800386533,-0.05355256
success,0.2,5e-4,0.2,1.2453476101682708,1.2290702588437088,-0.04840033
success,0.2,5e-4,0.3,1.201625492635078,1.2053667488694422,-0.05304587
success,0.2,5e-4,0.5,1.200717290244783,1.2053203215205444,-0.053166833
success,0.2,1e-3,0.2,1.250889128170576,1.2330360947942332,-0.04967038
success,0.2,1e-3,0.3,1.2512374383938334,1.235936344785347,-0.04900176
success,0.2,1e-3,0.5,1.2397996822793012,1.2236557016324199,-0.053202886
